Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
"FAToolSnapshot 20201128; Genome version:jgi_v5.5; (c) 2020 Technische Universitaet Kaiserlautern - CSB TM, BV"						
Cre38.g759997						
Cre08.g363350						
Cre08.g379050	GMM:27.3.99	RNA.regulation of transcription.unclassified				
Cre08.g364751						
Cre08.g372000			Chloroplast			
Cre08.g378150	GMM:7.1.1	OPP.oxidative PP.glucose-6-phosphate 1-dehydrogenase (G6PD)	Chloroplast	GO:0055114;GO:0050661;GO:0006006;GO:0004345	oxidation-reduction process;NADP binding;glucose metabolic process;glucose-6-phosphate dehydrogenase activity	GLD2
Cre08.g358567			Mitochondrion			
Cre08.g373352						
Cre08.g360700						
Cre08.g374850	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Mitochondrion			
Cre08.g358459						
Cre08.g361063						
Cre08.g367700				GO:0016021	integral component of membrane	
Cre08.g375200	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0007264;GO:0005525	small GTPase mediated signal transduction;GTP binding	
Cre08.g368550						
Cre08.g383450			Mitochondrion			
Cre08.g378601			Chloroplast			
Cre08.g371200			Mitochondrion			
Cre08.g384850						
Cre08.g361925			Chloroplast			
Cre08.g367000						
Cre08.g373436			Mitochondrion			
Cre08.g358534	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family		GO:0043565;GO:0008270;GO:0006355;GO:0003700	"sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre08.g370250			Mitochondrion			
Cre08.g358582			Chloroplast			
Cre08.g363283			Chloroplast			
Cre08.g362400	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase	Chloroplast			
Cre08.g382350	GMM:34.8	transport.metabolite transporters at the envelope membrane				EZY14
Cre08.g369600	GMM:34.99	transport.misc	Mitochondrion	GO:0055085;GO:0016020;GO:0015297;GO:0015238;GO:0006855	transmembrane transport;membrane;antiporter activity;drug transmembrane transporter activity;drug transmembrane transport	MFT2
Cre08.g376650			Secretory pathway	GO:0008146	sulfotransferase activity	CSR5
Cre08.g366550						
Cre08.g384355			Mitochondrion			
Cre08.g359051						
Cre08.g378100			Chloroplast			
Cre08.g359800						
Cre08.g382476			Mitochondrion			
Cre08.g371533						
Cre08.g366650						
Cre08.g377800						
Cre08.g370116			Mitochondrion			
Cre08.g375676						
Cre08.g374100			Mitochondrion			
Cre08.g371500			Secretory pathway			
Cre08.g383702	GMM:29.5.11.3;GMM:29.5.11	protein.degradation.ubiquitin.E2;protein.degradation.ubiquitin	Mitochondrion			
Cre08.g365851	GMM:17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	Chloroplast			
Cre08.g383250						
Cre08.g369300	GMM:26.7	"misc.oxidases - copper, flavone etc"	Secretory pathway	GO:0055114;GO:0016491	oxidation-reduction process;oxidoreductase activity	PFH16
Cre08.g379400			Mitochondrion			
Cre08.g380452				GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre08.g360250	GMM:34.14	transport.unspecified cations	Secretory pathway	GO:0055085;GO:0016020;GO:0006810;GO:0005215	transmembrane transport;membrane;transport;transporter activity	DUR3B
Cre08.g366450	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Secretory pathway			
Cre08.g362900	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	Chloroplast	GO:0019898;GO:0015979;GO:0009654;GO:0009523;GO:0005509	extrinsic component of membrane;photosynthesis;photosystem II oxygen evolving complex;photosystem II;calcium ion binding	PSBP4
Cre08.g366950						
Cre08.g373358						
Cre08.g358540			Chloroplast			
Cre08.g373361						
Cre08.g365300	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Secretory pathway			FAP359
Cre08.g363600	GMM:34.8	transport.metabolite transporters at the envelope membrane				
Cre08.g375800			Mitochondrion			
Cre08.g369451	GMM:20.2.3	stress.abiotic.drought/salt				
Cre08.g385850	GMM:31.3;GMM:29.4	cell.cycle;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	CDKC1
Cre08.g375650	GMM:29.4	protein.postranslational modification				
Cre08.g382530			Chloroplast			
Cre08.g368450			Secretory pathway	GO:0016021;GO:0008250;GO:0006487	integral component of membrane;oligosaccharyltransferase complex;protein N-linked glycosylation	
Cre08.g374750			Chloroplast			
Cre08.g360200	GMM:34.14	transport.unspecified cations	Secretory pathway	GO:0055085;GO:0016020;GO:0006810;GO:0005215	transmembrane transport;membrane;transport;transporter activity	DUR3A
Cre08.g360950			Chloroplast			
Cre08.g381250						
Cre08.g373450			Chloroplast	GO:0043169;GO:0005975;GO:0004553;GO:0003824	"cation binding;carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds;catalytic activity"	SBE4
Cre08.g373347			Secretory pathway			
Cre08.g364800	GMM:23.1.2.4	nucleotide metabolism.synthesis.purine.FGAR amidotransferase	Chloroplast			
Cre08.g364351						
Cre08.g374436	GMM:3.5	minor CHO metabolism.others	Mitochondrion			
Cre08.g364650	GMM:29.1.10;GMM:27.4	protein.aa activation.methionine-tRNA ligase;RNA.RNA binding	Chloroplast	GO:0006450;GO:0000049	regulation of translational fidelity;tRNA binding	
Cre08.g379950	GMM:26.7	"misc.oxidases - copper, flavone etc"	Chloroplast			PFH17
Cre08.g385750	GMM:13.1.6.1.5	amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase	Mitochondrion			CHK1
Cre08.g359500				GO:0008716;GO:0005737;GO:0005515	D-alanine-D-alanine ligase activity;cytoplasm;protein binding	
Cre08.g381483						
Cre08.g361700			Chloroplast			
Cre08.g377150			Mitochondrion	GO:0003824	catalytic activity	
Cre08.g360564	GMM:20.2.3	stress.abiotic.drought/salt		GO:0016020	membrane	ERM3
Cre08.g358556	GMM:29.2.1	protein.synthesis.ribosomal protein		GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	RPS29
Cre08.g382825						
Cre08.g385900			Secretory pathway			
Cre08.g378450						
Cre08.g376200						
Cre08.g358544			Chloroplast			
Cre08.g378250						
Cre08.g368700	GMM:27.3.69	RNA.regulation of transcription.SET-domain transcriptional regulator family	Chloroplast	GO:0005515	protein binding	
Cre08.g371350						
Cre08.g379650			Mitochondrion			TIC20
Cre08.g368950	GMM:18.5;GMM:13.1.6.1.2	Co-factor and vitamine metabolism.folate and vitamine K;amino acid metabolism.synthesis.aromatic aa.chorismate.3-dehydroquinate synthase	Chloroplast			DHQS
