cre_jgi5_5	MapManId	MapManDescription
Cre38.g759997		
Cre08.g363350		
Cre08.g379050	GMM:27.3.99	RNA.regulation of transcription.unclassified
Cre08.g364751		
Cre08.g372000		
Cre08.g378150	GMM:7.1.1	OPP.oxidative PP.glucose-6-phosphate 1-dehydrogenase (G6PD)
Cre08.g358567		
Cre08.g373352		
Cre08.g360700		
Cre08.g374850	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g358459		
Cre08.g361063		
Cre08.g367700		
Cre08.g375200	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others
Cre08.g368550		
Cre08.g383450		
Cre08.g378601		
Cre08.g371200		
Cre08.g384850		
Cre08.g361925		
Cre08.g367000		
Cre08.g373436		
Cre08.g358534	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family
Cre08.g370250		
Cre08.g358582		
Cre08.g363283		
Cre08.g362400	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase
Cre08.g382350	GMM:34.8	transport.metabolite transporters at the envelope membrane
Cre08.g369600	GMM:34.99	transport.misc
Cre08.g376650		
Cre08.g366550		
Cre08.g384355		
Cre08.g359051		
Cre08.g378100		
Cre08.g359800		
Cre08.g382476		
Cre08.g371533		
Cre08.g366650		
Cre08.g377800		
Cre08.g370116		
Cre08.g375676		
Cre08.g374100		
Cre08.g371500		
Cre08.g383702	GMM:29.5.11.3;GMM:29.5.11	protein.degradation.ubiquitin.E2;protein.degradation.ubiquitin
Cre08.g365851	GMM:17.1.1	hormone metabolism.abscisic acid.synthesis-degradation
Cre08.g383250		
Cre08.g369300	GMM:26.7	"misc.oxidases - copper, flavone etc"
Cre08.g379400		
Cre08.g380452		
Cre08.g360250	GMM:34.14	transport.unspecified cations
Cre08.g366450	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g362900	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
Cre08.g366950		
Cre08.g373358		
Cre08.g358540		
Cre08.g373361		
Cre08.g365300	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins
Cre08.g363600	GMM:34.8	transport.metabolite transporters at the envelope membrane
Cre08.g375800		
Cre08.g369451	GMM:20.2.3	stress.abiotic.drought/salt
Cre08.g385850	GMM:31.3;GMM:29.4	cell.cycle;protein.postranslational modification
Cre08.g375650	GMM:29.4	protein.postranslational modification
Cre08.g382530		
Cre08.g368450		
Cre08.g374750		
Cre08.g360200	GMM:34.14	transport.unspecified cations
Cre08.g360950		
Cre08.g381250		
Cre08.g373450		
Cre08.g373347		
Cre08.g364800	GMM:23.1.2.4	nucleotide metabolism.synthesis.purine.FGAR amidotransferase
Cre08.g364351		
Cre08.g374436	GMM:3.5	minor CHO metabolism.others
Cre08.g364650	GMM:29.1.10;GMM:27.4	protein.aa activation.methionine-tRNA ligase;RNA.RNA binding
Cre08.g379950	GMM:26.7	"misc.oxidases - copper, flavone etc"
Cre08.g385750	GMM:13.1.6.1.5	amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase
Cre08.g359500		
Cre08.g381483		
